ZN,INDUS,NOX,RM,AGE,DIS,TAX,PTRATIO,LSTAT,MEDV
1.0747443033429982,-1.3009139763293394,0.13216449559953386,0.9943572420357005,0.04893244772293871,-0.015950324953304115,-0.4983240968903619,-2.0988890415778085,-1.4300631058633277,24.0
-0.4997754461155184,-0.5275877179512043,-0.6433919125699034,0.595706329156121,0.5621756125907493,0.4815137820915324,-0.8893194204815478,-0.6247908492217029,-0.4935148600931268,21.6
-0.4997754461155184,-1.3220342312850448,-0.7670313399592333,0.6190041097789521,-0.1945770830537597,1.10262077516507,-1.0341325032930981,-0.09411549997350566,-1.3782827941981484,28.7
0.593641046564007,-0.39761691822378664,-0.025194775623250502,-0.4630483680370506,0.10138065435176574,0.8180719865384664,-0.38971428478169917,-2.157852969272054,0.24716872850878674,22.9
0.593641046564007,-0.39761691822378664,-0.025194775623250502,-0.04886560140891536,1.2065392940306279,1.0392679753054097,-0.38971428478169917,-2.157852969272054,1.7600543562914186,27.1
0.593641046564007,-0.39761691822378664,-0.025194775623250502,-0.4837575063684573,0.824416645734886,1.4031637352871305,-0.38971428478169917,-2.157852969272054,1.298534187101777,18.9
0.593641046564007,-0.39761691822378664,-0.025194775623250502,0.48180606833338263,1.13910588550785,1.2639804131245458,-0.38971428478169917,-2.157852969272054,2.052725683094607,15.0
0.593641046564007,-0.39761691822378664,-0.025194775623250502,-0.4708142949113261,0.712027631530256,1.1959201088885631,-0.38971428478169917,-2.157852969272054,0.43627943198161573,18.9
0.593641046564007,-0.39761691822378664,-0.025194775623250502,-0.7814513698824276,-0.9325982763308304,0.7559102420029354,-0.38971428478169917,-2.157852969272054,0.9856009992122146,21.7
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.626132832396878,-0.0784417683756422,0.33427665726102296,-0.41867690134400926,1.262054836994112,-0.6916308351599002,20.4
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.24560241555727844,0.7719684391060585,0.1949799012580454,-0.41867690134400926,1.262054836994112,-0.24136725546268822,18.2
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.9238266959108504,-0.2769956934704885,0.2157950109702166,-0.41867690134400926,1.262054836994112,-0.6443531592916928,19.9
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.6623738244768403,-1.295989422259134,0.2157950109702166,-0.41867690134400926,1.262054836994112,-1.0698522421055583,23.1
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.5199984984484175,0.667072025848404,0.07927738405687511,-0.41867690134400926,1.262054836994112,0.7514639377696641,17.5
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-1.2008114210934138,0.21002336808290833,-0.1824144857304782,-0.41867690134400926,1.262054836994112,-0.01173282981711023,18.2
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-1.6072282608472712,1.2814653035003811,-0.18162044884772516,-0.41867690134400926,1.262054836994112,2.1810508033083122,13.6
-0.4997754461155184,-0.3537517733157831,0.13216449559953386,-0.5847145557340645,0.948044561359979,-0.06001937194610292,-0.41867690134400926,1.262054836994112,0.5623532342968351,19.6
